"Usedphone_financial","Education","Locality","Geographic_Area","Sex","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69"
"Mobile money only","Tertiary - Bachelor's Degree","Rural","Western North","Male",223,752,949,1032,649,330,203,102,91,79,36
"Mobile money only","Tertiary - Bachelor's Degree","Rural","Western North","Female",136,323,446,303,156,57,26,14,23,10,3
"Mobile money only","Tertiary - Bachelor's Degree","Rural","Ahafo","Male",101,241,334,392,252,125,80,50,43,40,23
"Mobile money only","Tertiary - Bachelor's Degree","Rural","Ahafo","Female",69,102,159,178,72,29,13,9,7,11,7
"Mobile money only","Tertiary - Bachelor's Degree","Rural","Bono","Male",225,932,1007,951,641,348,205,138,105,102,71
"Mobile money only","Tertiary - Bachelor's Degree","Rural","Bono","Female",201,519,548,512,269,96,45,18,18,17,13
"Mobile money only","Tertiary - Bachelor's Degree","Rural","Bono East","Male",109,317,543,598,453,207,139,74,63,58,28
"Mobile money only","Tertiary - Bachelor's Degree","Rural","Bono East","Female",57,155,247,260,134,39,18,12,8,5,4
"Mobile money only","Tertiary - Bachelor's Degree","Rural","Oti","Male",129,289,376,445,363,226,144,73,83,76,57
"Mobile money only","Tertiary - Bachelor's Degree","Rural","Oti","Female",36,128,161,167,86,39,16,17,17,19,9
"Mobile money only","Tertiary - Bachelor's Degree","Rural","Northern","Male",147,575,730,723,543,282,126,71,38,42,22
"Mobile money only","Tertiary - Bachelor's Degree","Rural","Northern","Female",87,386,264,214,138,71,28,15,7,12,8
"Mobile money only","Tertiary - Bachelor's Degree","Rural","Savannah","Male",73,142,226,200,118,63,31,13,9,8,6
"Mobile money only","Tertiary - Bachelor's Degree","Rural","Savannah","Female",16,62,87,53,16,6,5,3,2,1,2
"Mobile money only","Tertiary - Bachelor's Degree","Rural","North East","Male",47,185,236,217,177,92,25,12,15,12,4
"Mobile money only","Tertiary - Bachelor's Degree","Rural","North East","Female",18,47,70,34,18,6,4,1,2,2,0
"Mobile money only","Tertiary - Bachelor's Degree","Rural","Upper East","Male",261,1131,1208,1301,1002,543,233,124,69,96,61
"Mobile money only","Tertiary - Bachelor's Degree","Rural","Upper East","Female",216,452,495,505,284,108,30,23,28,29,11
"Mobile money only","Tertiary - Bachelor's Degree","Rural","Upper West","Male",151,529,711,643,520,263,139,52,29,50,49
"Mobile money only","Tertiary - Bachelor's Degree","Rural","Upper West","Female",88,161,257,206,127,66,11,9,15,19,9
"Mobile money only","Tertiary - Bachelor's Degree","Urban","Ghana","Male",22121,107267,99994,86349,61379,36609,22827,13849,9772,9093,5995
"Mobile money only","Tertiary - Bachelor's Degree","Urban","Ghana","Female",22185,89936,74024,62326,39537,18627,9183,5574,4558,4216,2287
"Mobile money only","Tertiary - Bachelor's Degree","Urban","Western","Male",986,4464,5112,4532,3370,1907,1334,879,634,455,330
"Mobile money only","Tertiary - Bachelor's Degree","Urban","Western","Female",896,3128,3572,3219,2111,931,553,327,274,229,99
"Mobile money only","Tertiary - Bachelor's Degree","Urban","Central","Male",1789,13056,11210,8062,5055,2994,1973,1163,834,776,486
"Mobile money only","Tertiary - Bachelor's Degree","Urban","Central","Female",1802,11052,7372,5215,3123,1532,797,402,393,326,183
"Mobile money only","Tertiary - Bachelor's Degree","Urban","Greater Accra","Male",7677,35870,36340,30462,21565,13974,8691,5355,3723,3446,2312
"Mobile money only","Tertiary - Bachelor's Degree","Urban","Greater Accra","Female",8738,33791,31314,25957,16630,8330,4212,2673,1952,1873,1066
"Mobile money only","Tertiary - Bachelor's Degree","Urban","Volta","Male",498,2532,2330,2364,2096,1423,1018,562,463,457,311
"Mobile money only","Tertiary - Bachelor's Degree","Urban","Volta","Female",755,2928,1824,1823,1340,742,349,209,206,189,122
"Mobile money only","Tertiary - Bachelor's Degree","Urban","Eastern","Male",925,4640,5691,5835,4648,2692,1799,1138,856,859,555
"Mobile money only","Tertiary - Bachelor's Degree","Urban","Eastern","Female",919,4158,4470,4419,3101,1442,731,449,395,352,180
"Mobile money only","Tertiary - Bachelor's Degree","Urban","Ashanti","Male",7562,29128,21231,16910,11055,5964,3538,2150,1601,1506,1015
"Mobile money only","Tertiary - Bachelor's Degree","Urban","Ashanti","Female",6674,21351,14265,12033,7270,3117,1365,819,665,591,352
"Mobile money only","Tertiary - Bachelor's Degree","Urban","Western North","Male",175,954,1257,1227,839,435,226,164,91,82,51
"Mobile money only","Tertiary - Bachelor's Degree","Urban","Western North","Female",155,715,745,505,235,87,34,28,22,34,8
"Mobile money only","Tertiary - Bachelor's Degree","Urban","Ahafo","Male",191,985,1172,1134,826,396,265,179,129,109,61
"Mobile money only","Tertiary - Bachelor's Degree","Urban","Ahafo","Female",136,862,695,606,359,113,61,44,34,21,18
"Mobile money only","Tertiary - Bachelor's Degree","Urban","Bono","Male",716,5471,4265,3803,2604,1364,728,514,320,328,249
"Mobile money only","Tertiary - Bachelor's Degree","Urban","Bono","Female",734,4109,3049,2343,1401,610,266,140,161,140,47
"Mobile money only","Tertiary - Bachelor's Degree","Urban","Bono East","Male",291,1508,2108,2401,1752,875,559,326,214,225,126
"Mobile money only","Tertiary - Bachelor's Degree","Urban","Bono East","Female",204,1065,1221,1271,709,294,111,56,82,73,30
"Mobile money only","Tertiary - Bachelor's Degree","Urban","Oti","Male",169,666,657,707,597,393,211,127,83,68,48
"Mobile money only","Tertiary - Bachelor's Degree","Urban","Oti","Female",89,408,350,320,190,69,35,21,27,38,6
"Mobile money only","Tertiary - Bachelor's Degree","Urban","Northern","Male",614,4289,4511,4625,3523,2137,1404,724,397,373,200
"Mobile money only","Tertiary - Bachelor's Degree","Urban","Northern","Female",636,3725,2733,2328,1473,624,323,190,184,149,74
"Mobile money only","Tertiary - Bachelor's Degree","Urban","Savannah","Male",53,181,456,679,495,289,174,87,73,53,39
"Mobile money only","Tertiary - Bachelor's Degree","Urban","Savannah","Female",37,150,282,216,153,44,33,16,15,14,8
"Mobile money only","Tertiary - Bachelor's Degree","Urban","North East","Male",74,344,477,531,442,245,128,79,48,54,26
"Mobile money only","Tertiary - Bachelor's Degree","Urban","North East","Female",27,141,204,200,119,45,18,13,5,11,7
"Mobile money only","Tertiary - Bachelor's Degree","Urban","Upper East","Male",185,1131,1263,1636,1360,817,431,236,141,151,90
"Mobile money only","Tertiary - Bachelor's Degree","Urban","Upper East","Female",152,741,837,1011,709,339,162,92,81,86,49
"Mobile money only","Tertiary - Bachelor's Degree","Urban","Upper West","Male",216,2048,1914,1441,1152,704,348,166,165,151,96
"Mobile money only","Tertiary - Bachelor's Degree","Urban","Upper West","Female",231,1612,1091,860,614,308,133,95,62,90,38
"Both mobile money and other financial transaction","Never attended","Rural","Ghana","Male",315,923,1269,1446,1480,1244,1023,775,546,452,249
"Both mobile money and other financial transaction","Never attended","Rural","Ghana","Female",266,844,1134,1363,1407,1365,1134,970,668,564,305
"Both mobile money and other financial transaction","Never attended","Rural","Western","Male",26,100,128,162,161,122,108,91,64,37,18
"Both mobile money and other financial transaction","Never attended","Rural","Western","Female",22,85,140,177,153,169,137,77,62,43,26
"Both mobile money and other financial transaction","Never attended","Rural","Central","Male",6,21,40,35,47,55,46,37,41,31,19
"Both mobile money and other financial transaction","Never attended","Rural","Central","Female",10,18,35,56,67,101,108,101,77,67,48
"Both mobile money and other financial transaction","Never attended","Rural","Greater Accra","Male",4,17,43,41,42,43,23,20,15,10,5
"Both mobile money and other financial transaction","Never attended","Rural","Greater Accra","Female",2,12,49,55,72,65,44,23,22,20,11
"Both mobile money and other financial transaction","Never attended","Rural","Volta","Male",17,30,39,48,58,58,46,34,29,26,19
"Both mobile money and other financial transaction","Never attended","Rural","Volta","Female",8,37,41,75,93,89,102,95,71,69,37
"Both mobile money and other financial transaction","Never attended","Rural","Eastern","Male",24,44,93,69,104,59,73,54,35,46,21
"Both mobile money and other financial transaction","Never attended","Rural","Eastern","Female",12,56,54,83,106,107,89,104,79,51,30
"Both mobile money and other financial transaction","Never attended","Rural","Ashanti","Male",17,78,116,137,161,120,113,89,62,43,16
"Both mobile money and other financial transaction","Never attended","Rural","Ashanti","Female",19,65,110,165,171,164,156,101,75,74,29
"Both mobile money and other financial transaction","Never attended","Rural","Western North","Male",10,50,72,88,114,88,83,85,40,36,18
"Both mobile money and other financial transaction","Never attended","Rural","Western North","Female",11,48,81,92,110,116,82,72,40,31,12
"Both mobile money and other financial transaction","Never attended","Rural","Ahafo","Male",7,20,35,44,52,37,49,33,20,7,13
"Both mobile money and other financial transaction","Never attended","Rural","Ahafo","Female",5,20,33,48,55,45,32,47,28,12,4
"Both mobile money and other financial transaction","Never attended","Rural","Bono","Male",6,21,28,25,38,36,23,22,16,20,4
"Both mobile money and other financial transaction","Never attended","Rural","Bono","Female",1,33,26,33,34,35,38,39,31,27,15
"Both mobile money and other financial transaction","Never attended","Rural","Bono East","Male",13,58,60,93,87,67,55,52,37,22,18
"Both mobile money and other financial transaction","Never attended","Rural","Bono East","Female",13,40,55,62,74,72,55,48,32,22,11
"Both mobile money and other financial transaction","Never attended","Rural","Oti","Male",12,57,56,58,44,47,36,18,19,20,12
"Both mobile money and other financial transaction","Never attended","Rural","Oti","Female",9,32,47,44,53,29,33,33,19,13,2
"Both mobile money and other financial transaction","Never attended","Rural","Northern","Male",56,158,185,215,198,184,115,78,53,44,19
"Both mobile money and other financial transaction","Never attended","Rural","Northern","Female",54,132,146,160,123,100,41,48,19,17,6
"Both mobile money and other financial transaction","Never attended","Rural","Savannah","Male",27,69,88,100,82,57,44,20,15,12,5
"Both mobile money and other financial transaction","Never attended","Rural","Savannah","Female",21,56,52,45,43,28,23,12,8,8,5
"Both mobile money and other financial transaction","Never attended","Rural","North East","Male",20,49,85,75,68,58,58,26,25,12,13
"Both mobile money and other financial transaction","Never attended","Rural","North East","Female",24,67,69,60,47,47,33,24,9,21,14
"Both mobile money and other financial transaction","Never attended","Rural","Upper East","Male",38,83,130,172,142,139,98,62,48,46,28
"Both mobile money and other financial transaction","Never attended","Rural","Upper East","Female",40,91,136,144,140,130,115,96,74,63,37
"Both mobile money and other financial transaction","Never attended","Rural","Upper West","Male",32,68,71,84,82,74,53,54,27,40,21
"Both mobile money and other financial transaction","Never attended","Rural","Upper West","Female",15,52,60,64,66,68,46,50,22,26,18
"Both mobile money and other financial transaction","Never attended","Urban","Ghana","Male",248,673,1083,1481,1593,1531,1363,963,581,499,293
"Both mobile money and other financial transaction","Never attended","Urban","Ghana","Female",256,911,1529,1974,2220,2040,1851,1448,1021,821,524
"Both mobile money and other financial transaction","Never attended","Urban","Western","Male",20,44,59,85,104,82,80,47,26,24,10
"Both mobile money and other financial transaction","Never attended","Urban","Western","Female",9,50,74,130,129,132,133,78,69,43,30
"Both mobile money and other financial transaction","Never attended","Urban","Central","Male",16,56,56,69,102,97,88,67,46,32,20
"Both mobile money and other financial transaction","Never attended","Urban","Central","Female",11,61,76,108,169,142,133,117,72,72,41
"Both mobile money and other financial transaction","Never attended","Urban","Greater Accra","Male",44,124,255,338,362,348,276,180,113,87,49
"Both mobile money and other financial transaction","Never attended","Urban","Greater Accra","Female",55,175,337,465,538,461,412,319,212,168,94
"Both mobile money and other financial transaction","Never attended","Urban","Volta","Male",4,20,25,44,46,50,25,32,15,10,8
"Both mobile money and other financial transaction","Never attended","Urban","Volta","Female",4,9,32,46,72,65,70,67,43,44,29
"Both mobile money and other financial transaction","Never attended","Urban","Eastern","Male",12,22,40,53,60,52,72,49,30,28,11
"Both mobile money and other financial transaction","Never attended","Urban","Eastern","Female",7,25,51,83,112,98,116,102,64,58,32
"Both mobile money and other financial transaction","Never attended","Urban","Ashanti","Male",28,100,165,222,239,256,249,172,116,107,57
"Both mobile money and other financial transaction","Never attended","Urban","Ashanti","Female",41,114,282,338,401,393,378,295,206,159,128
"Both mobile money and other financial transaction","Never attended","Urban","Western North","Male",9,30,34,39,41,48,43,32,19,14,8
"Both mobile money and other financial transaction","Never attended","Urban","Western North","Female",8,41,67,69,71,63,46,42,27,18,11
"Both mobile money and other financial transaction","Never attended","Urban","Ahafo","Male",2,19,33,47,48,28,33,15,13,18,14
"Both mobile money and other financial transaction","Never attended","Urban","Ahafo","Female",2,18,31,35,50,39,36,33,31,23,19
"Both mobile money and other financial transaction","Never attended","Urban","Bono","Male",9,50,56,64,75,85,71,59,39,34,20
"Both mobile money and other financial transaction","Never attended","Urban","Bono","Female",13,45,93,101,109,117,101,84,90,71,44
"Both mobile money and other financial transaction","Never attended","Urban","Bono East","Male",27,46,70,100,99,105,73,53,30,23,18
"Both mobile money and other financial transaction","Never attended","Urban","Bono East","Female",23,88,98,105,125,100,110,65,65,44,22
"Both mobile money and other financial transaction","Never attended","Urban","Oti","Male",12,24,39,38,36,28,31,18,18,10,4
"Both mobile money and other financial transaction","Never attended","Urban","Oti","Female",9,35,34,32,42,34,34,32,17,9,7
"Both mobile money and other financial transaction","Never attended","Urban","Northern","Male",24,71,114,196,197,176,157,135,54,68,40
"Both mobile money and other financial transaction","Never attended","Urban","Northern","Female",35,125,196,262,203,204,133,114,65,56,35
"Both mobile money and other financial transaction","Never attended","Urban","Savannah","Male",12,20,27,47,39,30,24,21,14,3,11
"Both mobile money and other financial transaction","Never attended","Urban","Savannah","Female",6,23,32,42,34,35,23,17,13,6,7
"Both mobile money and other financial transaction","Never attended","Urban","North East","Male",15,21,39,30,33,35,47,16,12,10,8
"Both mobile money and other financial transaction","Never attended","Urban","North East","Female",11,31,43,41,42,26,19,11,6,7,8
"Both mobile money and other financial transaction","Never attended","Urban","Upper East","Male",11,21,46,68,66,68,53,39,17,19,7
"Both mobile money and other financial transaction","Never attended","Urban","Upper East","Female",11,31,45,64,73,73,70,42,20,27,13
"Both mobile money and other financial transaction","Never attended","Urban","Upper West","Male",3,5,25,41,46,43,41,28,19,12,8
"Both mobile money and other financial transaction","Never attended","Urban","Upper West","Female",11,40,38,53,50,58,37,30,21,16,4
"Both mobile money and other financial transaction","Primary","Rural","Ghana","Male",256,570,673,662,625,466,408,250,184,121,67
"Both mobile money and other financial transaction","Primary","Rural","Ghana","Female",228,568,618,628,605,470,423,308,232,133,90
"Both mobile money and other financial transaction","Primary","Rural","Western","Male",24,65,71,85,82,50,59,20,26,10,4
"Both mobile money and other financial transaction","Primary","Rural","Western","Female",20,65,79,81,58,39,33,31,20,14,6
"Both mobile money and other financial transaction","Primary","Rural","Central","Male",18,57,44,48,51,28,37,26,23,22,7
"Both mobile money and other financial transaction","Primary","Rural","Central","Female",26,40,55,60,81,41,65,31,30,20,13
"Both mobile money and other financial transaction","Primary","Rural","Greater Accra","Male",10,30,36,39,28,31,26,16,7,11,3
"Both mobile money and other financial transaction","Primary","Rural","Greater Accra","Female",10,30,35,40,48,36,28,31,12,6,7
"Both mobile money and other financial transaction","Primary","Rural","Volta","Male",10,37,50,67,64,45,31,28,17,12,12
"Both mobile money and other financial transaction","Primary","Rural","Volta","Female",10,54,61,64,73,73,46,34,29,17,13
"Both mobile money and other financial transaction","Primary","Rural","Eastern","Male",29,48,62,82,73,58,55,41,25,18,15
"Both mobile money and other financial transaction","Primary","Rural","Eastern","Female",16,73,78,89,77,67,65,49,52,23,17
"Both mobile money and other financial transaction","Primary","Rural","Ashanti","Male",27,70,106,83,116,75,59,41,27,15,8
"Both mobile money and other financial transaction","Primary","Rural","Ashanti","Female",28,85,101,105,119,89,96,58,40,26,19
"Both mobile money and other financial transaction","Primary","Rural","Western North","Male",15,37,41,44,34,40,44,22,15,5,3
"Both mobile money and other financial transaction","Primary","Rural","Western North","Female",17,38,41,45,52,32,30,23,12,8,3
"Both mobile money and other financial transaction","Primary","Rural","Ahafo","Male",4,10,15,15,29,23,14,9,6,5,2
"Both mobile money and other financial transaction","Primary","Rural","Ahafo","Female",5,18,22,23,16,17,20,16,4,5,2
"Both mobile money and other financial transaction","Primary","Rural","Bono","Male",8,17,15,10,11,13,14,7,8,6,2
"Both mobile money and other financial transaction","Primary","Rural","Bono","Female",11,8,20,17,17,16,11,11,13,4,3
"Both mobile money and other financial transaction","Primary","Rural","Bono East","Male",17,35,38,32,24,22,21,6,5,3,2
"Both mobile money and other financial transaction","Primary","Rural","Bono East","Female",16,31,25,19,10,18,4,3,9,3,2
"Both mobile money and other financial transaction","Primary","Rural","Oti","Male",9,7,16,18,13,10,7,7,2,3,3
"Both mobile money and other financial transaction","Primary","Rural","Oti","Female",10,11,20,11,9,7,6,4,3,2,1
"Both mobile money and other financial transaction","Primary","Rural","Northern","Male",13,30,36,27,23,17,8,6,5,1,2
"Both mobile money and other financial transaction","Primary","Rural","Northern","Female",21,15,11,7,2,7,1,2,0,0,0
"Both mobile money and other financial transaction","Primary","Rural","Savannah","Male",8,22,15,11,10,9,2,2,5,0,0
"Both mobile money and other financial transaction","Primary","Rural","Savannah","Female",10,16,13,7,6,3,2,2,0,1,0
"Both mobile money and other financial transaction","Primary","Rural","North East","Male",10,11,18,12,13,7,3,2,2,1,1
"Both mobile money and other financial transaction","Primary","Rural","North East","Female",5,17,9,3,1,0,0,0,0,0,0
"Both mobile money and other financial transaction","Primary","Rural","Upper East","Male",36,67,71,65,37,32,20,13,7,3,1
"Both mobile money and other financial transaction","Primary","Rural","Upper East","Female",12,35,40,40,28,25,13,11,4,2,2
"Both mobile money and other financial transaction","Primary","Rural","Upper West","Male",18,27,39,24,17,6,8,4,4,6,2
"Both mobile money and other financial transaction","Primary","Rural","Upper West","Female",11,32,8,17,8,0,3,2,4,2,2
"Both mobile money and other financial transaction","Primary","Urban","Ghana","Male",223,595,749,787,911,716,594,413,258,184,92
"Both mobile money and other financial transaction","Primary","Urban","Ghana","Female",215,620,1006,1202,1267,1033,950,697,395,309,179
"Both mobile money and other financial transaction","Primary","Urban","Western","Male",13,32,33,31,33,34,26,15,25,12,1
"Both mobile money and other financial transaction","Primary","Urban","Western","Female",12,39,61,70,65,44,55,25,18,19,11
"Both mobile money and other financial transaction","Primary","Urban","Central","Male",14,39,39,61,82,69,46,35,23,17,8
"Both mobile money and other financial transaction","Primary","Urban","Central","Female",17,38,78,107,113,82,92,60,39,21,13
"Both mobile money and other financial transaction","Primary","Urban","Greater Accra","Male",59,151,264,247,300,228,212,125,77,51,23
"Both mobile money and other financial transaction","Primary","Urban","Greater Accra","Female",44,161,313,376,419,337,272,225,120,112,43
"Both mobile money and other financial transaction","Primary","Urban","Volta","Male",6,35,40,38,55,33,24,17,17,9,7
"Both mobile money and other financial transaction","Primary","Urban","Volta","Female",11,15,44,45,56,53,55,46,22,10,13
"Both mobile money and other financial transaction","Primary","Urban","Eastern","Male",16,32,47,47,46,44,54,28,17,19,4
"Both mobile money and other financial transaction","Primary","Urban","Eastern","Female",19,59,72,90,97,85,100,66,30,36,28
"Both mobile money and other financial transaction","Primary","Urban","Ashanti","Male",38,125,146,171,195,164,121,108,52,38,28
"Both mobile money and other financial transaction","Primary","Urban","Ashanti","Female",29,112,204,277,307,266,217,172,103,70,45
"Both mobile money and other financial transaction","Primary","Urban","Western North","Male",3,20,23,26,11,12,9,14,1,2,3
"Both mobile money and other financial transaction","Primary","Urban","Western North","Female",6,15,27,27,26,20,13,4,4,5,0
"Both mobile money and other financial transaction","Primary","Urban","Ahafo","Male",9,18,14,19,19,11,10,8,4,6,3
"Both mobile money and other financial transaction","Primary","Urban","Ahafo","Female",9,22,24,19,21,23,13,9,6,6,6
"Both mobile money and other financial transaction","Primary","Urban","Bono","Male",15,23,33,30,38,22,23,19,10,7,4
"Both mobile money and other financial transaction","Primary","Urban","Bono","Female",21,41,45,61,63,38,55,35,25,15,15
"Both mobile money and other financial transaction","Primary","Urban","Bono East","Male",13,37,30,31,32,25,17,11,9,10,3
"Both mobile money and other financial transaction","Primary","Urban","Bono East","Female",17,41,49,52,44,27,34,31,11,8,2
"Both mobile money and other financial transaction","Primary","Urban","Oti","Male",3,14,13,7,8,3,5,2,3,1,1
"Both mobile money and other financial transaction","Primary","Urban","Oti","Female",0,13,6,8,5,11,7,2,3,2,1
"Both mobile money and other financial transaction","Primary","Urban","Northern","Male",18,42,36,39,49,38,27,19,12,9,3
"Both mobile money and other financial transaction","Primary","Urban","Northern","Female",15,31,38,25,20,25,12,7,7,3,1
"Both mobile money and other financial transaction","Primary","Urban","Savannah","Male",5,6,3,3,5,2,2,1,0,1,2
"Both mobile money and other financial transaction","Primary","Urban","Savannah","Female",0,8,5,7,4,3,0,2,3,0,0
"Both mobile money and other financial transaction","Primary","Urban","North East","Male",2,0,8,1,4,7,3,1,0,0,1
"Both mobile money and other financial transaction","Primary","Urban","North East","Female",3,5,3,1,7,0,0,0,0,0,0
"Both mobile money and other financial transaction","Primary","Urban","Upper East","Male",3,13,13,19,17,8,10,3,2,1,0
"Both mobile money and other financial transaction","Primary","Urban","Upper East","Female",4,9,12,16,14,6,15,6,2,0,0
"Both mobile money and other financial transaction","Primary","Urban","Upper West","Male",6,8,7,17,17,16,5,7,6,1,1
"Both mobile money and other financial transaction","Primary","Urban","Upper West","Female",8,11,25,21,6,13,10,7,2,2,1
"Both mobile money and other financial transaction","Secondary","Rural","Ghana","Male",60,140,175,139,174,271,478,384,286,203,171
"Both mobile money and other financial transaction","Secondary","Rural","Ghana","Female",43,100,99,90,61,130,213,113,108,67,72
"Both mobile money and other financial transaction","Secondary","Rural","Western","Male",6,13,14,18,21,22,63,37,33,18,16
"Both mobile money and other financial transaction","Secondary","Rural","Western","Female",8,10,6,9,6,12,25,12,6,5,7
"Both mobile money and other financial transaction","Secondary","Rural","Central","Male",2,4,3,6,8,25,36,33,25,18,15
"Both mobile money and other financial transaction","Secondary","Rural","Central","Female",0,4,6,2,3,10,21,14,6,10,9
"Both mobile money and other financial transaction","Secondary","Rural","Greater Accra","Male",0,8,15,23,24,41,55,51,28,19,16
"Both mobile money and other financial transaction","Secondary","Rural","Greater Accra","Female",4,10,10,13,12,21,22,14,22,8,8
"Both mobile money and other financial transaction","Secondary","Rural","Volta","Male",1,5,6,9,8,10,20,32,19,19,17
"Both mobile money and other financial transaction","Secondary","Rural","Volta","Female",1,2,5,4,8,11,16,15,6,8,7
"Both mobile money and other financial transaction","Secondary","Rural","Eastern","Male",1,7,15,17,16,42,74,54,35,32,26
"Both mobile money and other financial transaction","Secondary","Rural","Eastern","Female",0,8,7,3,4,16,36,11,14,7,15
"Both mobile money and other financial transaction","Secondary","Rural","Ashanti","Male",23,39,37,26,34,74,125,91,57,39,41
"Both mobile money and other financial transaction","Secondary","Rural","Ashanti","Female",15,33,29,35,15,42,54,26,32,18,17
"Both mobile money and other financial transaction","Secondary","Rural","Western North","Male",6,17,25,7,11,15,25,15,15,12,11
"Both mobile money and other financial transaction","Secondary","Rural","Western North","Female",6,15,14,3,3,6,11,4,1,1,1
"Both mobile money and other financial transaction","Secondary","Rural","Ahafo","Male",2,5,6,4,7,4,19,11,14,5,5
"Both mobile money and other financial transaction","Secondary","Rural","Ahafo","Female",2,1,2,3,2,3,10,0,3,4,1
"Both mobile money and other financial transaction","Secondary","Rural","Bono","Male",3,4,3,2,6,7,21,18,16,12,5
"Both mobile money and other financial transaction","Secondary","Rural","Bono","Female",1,3,4,3,2,2,5,8,7,3,1
"Both mobile money and other financial transaction","Secondary","Rural","Bono East","Male",4,2,7,6,4,8,10,10,8,6,5
"Both mobile money and other financial transaction","Secondary","Rural","Bono East","Female",2,0,3,3,1,4,2,0,3,1,2
"Both mobile money and other financial transaction","Secondary","Rural","Oti","Male",2,9,9,3,11,5,11,6,17,3,3
"Both mobile money and other financial transaction","Secondary","Rural","Oti","Female",1,3,4,3,1,2,7,2,1,0,3
"Both mobile money and other financial transaction","Secondary","Rural","Northern","Male",5,14,12,3,5,3,9,10,4,4,2
"Both mobile money and other financial transaction","Secondary","Rural","Northern","Female",1,2,1,3,0,0,0,0,1,0,0
"Both mobile money and other financial transaction","Secondary","Rural","Savannah","Male",0,0,3,0,6,2,1,3,4,4,1
"Both mobile money and other financial transaction","Secondary","Rural","Savannah","Female",0,1,0,1,1,0,0,0,2,0,0
"Both mobile money and other financial transaction","Secondary","Rural","North East","Male",0,0,2,1,2,4,1,4,2,0,0
"Both mobile money and other financial transaction","Secondary","Rural","North East","Female",0,0,1,1,0,0,0,0,0,0,0
"Both mobile money and other financial transaction","Secondary","Rural","Upper East","Male",3,10,14,8,10,9,5,8,8,10,7
"Both mobile money and other financial transaction","Secondary","Rural","Upper East","Female",1,7,4,2,3,1,3,6,4,2,1
"Both mobile money and other financial transaction","Secondary","Rural","Upper West","Male",2,3,4,6,1,0,3,1,1,2,1
"Both mobile money and other financial transaction","Secondary","Rural","Upper West","Female",1,1,3,2,0,0,1,1,0,0,0
"Both mobile money and other financial transaction","Secondary","Urban","Ghana","Male",128,375,541,799,885,1514,2317,2246,1814,1164,828
"Both mobile money and other financial transaction","Secondary","Urban","Ghana","Female",149,350,437,524,483,883,1325,1142,969,706,501
"Both mobile money and other financial transaction","Secondary","Urban","Western","Male",10,24,40,60,64,123,161,120,108,70,44
"Both mobile money and other financial transaction","Secondary","Urban","Western","Female",5,28,34,48,33,51,77,58,38,27,16
"Both mobile money and other financial transaction","Secondary","Urban","Central","Male",4,11,30,30,44,63,127,116,111,70,43
"Both mobile money and other financial transaction","Secondary","Urban","Central","Female",5,13,16,20,24,64,75,58,52,38,27
"Both mobile money and other financial transaction","Secondary","Urban","Greater Accra","Male",42,126,235,393,482,761,1120,1147,924,554,389
"Both mobile money and other financial transaction","Secondary","Urban","Greater Accra","Female",42,102,170,245,243,438,627,695,553,412,278
"Both mobile money and other financial transaction","Secondary","Urban","Volta","Male",4,27,20,22,21,41,35,47,49,41,18
"Both mobile money and other financial transaction","Secondary","Urban","Volta","Female",7,21,21,18,16,23,36,23,25,19,13
"Both mobile money and other financial transaction","Secondary","Urban","Eastern","Male",12,24,42,45,37,62,140,126,105,72,62
"Both mobile money and other financial transaction","Secondary","Urban","Eastern","Female",29,32,27,27,22,57,106,61,64,50,39
"Both mobile money and other financial transaction","Secondary","Urban","Ashanti","Male",32,62,80,119,137,302,474,378,315,232,176
"Both mobile money and other financial transaction","Secondary","Urban","Ashanti","Female",31,66,81,104,84,174,277,163,169,102,75
"Both mobile money and other financial transaction","Secondary","Urban","Western North","Male",4,22,13,18,12,18,39,21,17,10,8
"Both mobile money and other financial transaction","Secondary","Urban","Western North","Female",3,17,13,10,7,7,12,5,7,6,1
"Both mobile money and other financial transaction","Secondary","Urban","Ahafo","Male",0,2,1,6,9,22,27,35,20,16,8
"Both mobile money and other financial transaction","Secondary","Urban","Ahafo","Female",2,3,0,1,4,14,23,8,7,6,11
"Both mobile money and other financial transaction","Secondary","Urban","Bono","Male",9,23,21,20,23,36,80,98,57,43,29
"Both mobile money and other financial transaction","Secondary","Urban","Bono","Female",11,24,26,19,19,26,45,32,23,32,22
"Both mobile money and other financial transaction","Secondary","Urban","Bono East","Male",8,15,11,21,9,25,40,43,24,10,12
"Both mobile money and other financial transaction","Secondary","Urban","Bono East","Female",6,11,12,2,10,9,16,11,9,6,4
"Both mobile money and other financial transaction","Secondary","Urban","Oti","Male",0,3,8,8,5,3,15,11,1,4,2
"Both mobile money and other financial transaction","Secondary","Urban","Oti","Female",2,4,7,2,3,2,6,3,2,0,0
"Both mobile money and other financial transaction","Secondary","Urban","Northern","Male",2,18,20,26,23,28,28,54,42,22,21
"Both mobile money and other financial transaction","Secondary","Urban","Northern","Female",2,15,16,8,6,9,9,13,10,4,9
"Both mobile money and other financial transaction","Secondary","Urban","Savannah","Male",1,11,6,12,7,5,6,14,9,2,3
"Both mobile money and other financial transaction","Secondary","Urban","Savannah","Female",1,4,3,9,6,4,3,2,0,0,3
"Both mobile money and other financial transaction","Secondary","Urban","North East","Male",0,3,1,3,2,3,0,4,4,1,3
